,movement,name,birth,death,country,art_type
0,Gothic Art,Benedetto Antelami,1150,1230,Italian,Sculptor
1,Gothic Art,Mastro Guglielmo,1158,1165,Italian,Sculptor
0,The Early Renaissance,Giotto di Bondone,1267,1337,Italian,Painter
1,The Early Renaissance,Bernardo Daddi,1280,1348,Italian,Painter
2,The Early Renaissance,Taddeo Gaddi,1300,1366,Italian,Painter
3,The Early Renaissance,Maso di Banco,1320,1350,Italian,Painter
4,The Early Renaissance,Agnolo Gaddi,1345,1396,Italian,Painter
5,The Early Renaissance,Spinello Aretino,1350,1410,Italian,Painter
6,The Early Renaissance,Francesco di Valdambrino,1363,1435,Italian,Sculptor
7,The Early Renaissance,Jacobello Del Fiore,1370,1439,Italian,Painter
8,The Early Renaissance,Michelino da Besozzo,1370,1450,Italian,Painter
9,The Early Renaissance,Jacopo della Quercia,1371,1438,Italian,Sculptor
0,The High Renaissance,Giovanni Bellini,1430,1516,Italian,Painter
1,The High Renaissance,Luca Signorelli,1441,1523,Italian,Painter
2,The High Renaissance,Donato Bramante,1444,1514,Italian,Architect/Painter
3,The High Renaissance,Vittore Carpaccio,1450,1525,Italian,Painter
4,The High Renaissance,Francesco Francia,1450,1517,Italian,Painter
5,The High Renaissance,Bernardino Zenale,1450,1526,Italian,Painter
6,The High Renaissance,Leonardo da Vinci,1452,1519,Italian,Painter/Inventor
7,The High Renaissance,Lorenzo di Credi,1458,1537,Italian,Painter
8,The High Renaissance,Alessandro Araldi,1460,1530,Italian,Painter
9,The High Renaissance,Bergognone,1460,1523,Italian,Painter
10,The High Renaissance,Bramantino,1460,1530,Italian,Painter
11,The High Renaissance,Lorenzo Costa,1460,1535,Italian,Painter
12,The High Renaissance,Benedetto Diana,1460,1525,Italian,Painter
13,The High Renaissance,Tullio Lombardo,1460,1532,Italian,Sculptor
14,The High Renaissance,Sebastiano Mainardi,1460,1513,Italian,Painter
15,The High Renaissance,Andrea Solario,1460,1524,Italian,Painter
16,The High Renaissance,Piero di Cosimo,1462,1521,Italian,Painter
17,The High Renaissance,Antonello de Saliba,1466,1535,Italian,Painter
18,The High Renaissance,Giovanni Antonio Boltraffio,1466,1516,Italian,Painter
19,The High Renaissance,Andrea Sansovino,1467,1529,Italian,Sculptor
20,The High Renaissance,Cristoforo Solari,1468,1524,Italian,Sculptor
21,The High Renaissance,Francesco Granacci,1469,1543,Italian,Painter
22,The High Renaissance,Giovanni della Robbia,1469,1529,Italian,Sculptor
23,The High Renaissance,Timoteo Viti,1469,1525,Italian,Painter
24,The High Renaissance,Bartolomeo Veneto,1470,1531,Italian,Painter
25,The High Renaissance,Marco Basaiti,1470,1530,Italian,Painter
26,The High Renaissance,Girolamo di Benvenuto,1470,1524,Italian,Painter
27,The High Renaissance,Michele da Verona,1470,1540,Italian,Painter
28,The High Renaissance,Gian Cristoforo Romano,1470,1512,Italian,Sculptor
29,The High Renaissance,Gaudenzio Ferrari,1471,1546,Italian,Painter
30,The High Renaissance,Fra Bartolommeo,1472,1517,Italian,Painter
31,The High Renaissance,Pietro Torrigiano,1472,1528,Italian,Sculptor
32,The High Renaissance,Giovanni Francesco Rustici,1474,1554,Italian,Sculptor
33,The High Renaissance,Giuliano Bugiardini,1475,1554,Italian,Painter
34,The High Renaissance,Michelangelo Buonarroti,1475,1564,Italian,Painter/Sculptor
35,The High Renaissance,Marcantonio Raimondi,1475,1534,Italian,Engraver
36,The High Renaissance,Cesare da Sesto,1477,1523,Italian,Painter
37,The High Renaissance,Giorgione,1477,1510,Italian,Painter
38,The High Renaissance,Il Sodoma,1477,1549,Italian,Painter
39,The High Renaissance,Giovanni Francesco Caroto,1480,1555,Italian,Painter
40,The High Renaissance,Lorenzo Lotto,1480,1556,Italian,Painter
41,The High Renaissance,Bernardino Luini,1480,1532,Italian,Painter
42,The High Renaissance,Ludovico Mazzolino,1480,1528,Italian,Painter
43,The High Renaissance,Palma Vecchio,1480,1528,Italian,Painter
44,The High Renaissance,Vincenzo di Catena,1480,1531,Italian,Painter
45,The High Renaissance,Garofalo,1481,1559,Italian,Painter
46,The High Renaissance,Baldassare Peruzzi,1481,1536,Italian,Painter/Architect
47,The High Renaissance,Bambaia,1483,1548,Italian,Sculptor
48,The High Renaissance,Ridolfo Ghirlandaio,1483,1561,Italian,Painter
49,The High Renaissance,Raphael,1483,1520,Italian,Painter
50,The High Renaissance,Franciabigio,1484,1525,Italian,Painter
51,The High Renaissance,Girolamo Romanino,1484,1562,Italian,Painter
52,The High Renaissance,Francesco da Sangallo,1484,1576,Italian,Sculptor
53,The High Renaissance,Titian,1485,1576,Italian,Painter
54,The High Renaissance,Andrea del Sarto,1486,1530,Italian,Painter
55,The High Renaissance,Paolo Moraldo,1486,1522,Italian,Painter
56,The High Renaissance,Andrea del Brescianino,1487,1524,Italian,Painter
57,The High Renaissance,Giovanni Martini da Udine,1487,1564,Italian,Painter
58,The High Renaissance,Bonifacio Veronese,1487,1553,Italian,Painter
59,The High Renaissance,Giovanni da Nola,1488,1558,Italian,Sculptor
60,The High Renaissance,Giovan Francesco Penni,1488,1528,Italian,Painter
61,The High Renaissance,Bernardino Licinio,1489,1565,Italian,Painter
62,The High Renaissance,Agostino Veneziano,1490,1540,Italian,Engraver
63,The High Renaissance,Giovanni Cariani,1490,1547,Italian,Painter
64,The High Renaissance,Battista Dossi,1490,1548,Italian,Painter
65,The High Renaissance,Dosso Dossi,1490,1542,Italian,Painter
66,The High Renaissance,Defendente Ferrari,1490,1535,Italian,Painter
67,The High Renaissance,Altobello Melone,1490,1543,Italian,Painter
68,The High Renaissance,Ortolano Ferrarese,1490,1525,Italian,Painter
69,The High Renaissance,Properzia de Rossi,1490,1530,Italian,Sculptor
70,The High Renaissance,Michelangelo Anselmi,1492,1556,Italian,Painter
71,The High Renaissance,Francesco Beccaruzzi,1492,1563,Italian,Painter
72,The High Renaissance,Domenico Puligo,1492,1527,Italian,Painter
73,The High Renaissance,Francesco Bacchiacca,1494,1557,Italian,Painter
74,The High Renaissance,Domenico Capriolo,1494,1528,Italian,Painter
75,The High Renaissance,Jean Cousin the Elder,1495,1560,French,Painter
76,The High Renaissance,Moretto da Brescia,1498,1554,Italian,Painter
77,The High Renaissance,Paris Bordone,1500,1571,Italian,Painter
78,The High Renaissance,Domenico Campagnola,1500,1564,Italian,Painter
79,The High Renaissance,Giampietrino,1500,1540,Italian,Painter
80,The High Renaissance,Callisto Piazza,1500,1562,Italian,Painter
81,The High Renaissance,Girolamo da Carpi,1501,1556,Italian,Painter
82,The High Renaissance,Giulio Campi,1502,1572,Italian,Painter
83,The High Renaissance,Pierfrancesco Foschi,1502,1567,Italian,Painter
84,The High Renaissance,Rocco Marconi,1504,1529,Italian,Painter
85,The High Renaissance,Gian Jacopo Caraglio,1505,1565,Italian,Engraver
86,The High Renaissance,Giovanni Angelo Montorsoli,1507,1563,Italian,Sculptor
87,The High Renaissance,Jacopo Bassano,1510,1592,Italian,Painter
88,The High Renaissance,Karl von Egeri,1510,1562,Swiss,Glass Painter
89,The High Renaissance,Brusasorci,1516,1567,Italian,Painter
90,The High Renaissance,Scipione Pulzone,1550,1598,Italian,Painter
91,The High Renaissance,Barbara Longhi,1552,1638,Italian,Painter
0,The Northern Renaissance,Master Bertram,1340,1414,German,Painter
1,The Northern Renaissance,Hubert van Eyck,1370,1426,Netherlandish,Painter
2,The Northern Renaissance,Robert Campin,1375,1444,Netherlandish,Painter
0,Mannerism,Amico Aspertini,1474,1552,Italian,Painter
0,Baroque Art,Federico Barocci,1535,1612,Italian,Painter
1,Baroque Art,Blas de Ledesma,1546,1614,Spanish,Painter
2,Baroque Art,Girolamo Campagna,1549,1625,Italian,Sculptor
3,Baroque Art,Paul Bril,1554,1626,Flemish,Painter
4,Baroque Art,Jacopo Chimenti,1554,1640,Italian,Painter
